"","HbA1c","Fasting blood glucose","Plasma NEP activity","Heart NEP activity","IVCT","IVRT","MV A","MV E","MV ET","MV E/A","HR","Diameter;s","Diameter;d","Volume;s","Volume;d","SV","EF","FS","CO","LV Mass","LVAW;s","LVAW;d","LVPW;s","LVPW;d","LA volume","LA area"
"HbA1c",1,0.774034033771161,0.233121026658026,-0.0042793033156664,0.084576928402759,0.33814155104761,0.223016053389733,-0.119846396244926,0.000530055829097601,-0.412607964430498,-0.00388652818011259,-0.496910293864577,-0.437623073080678,-0.496910293864577,-0.437623073080678,-0.277639440357498,0.410276047522431,0.403492289244416,-0.247960497891183,0.041762511899028,0.0106702864581273,-0.198848914524306,0.485392037621698,0.482212150928878,0.489985207289104,0.550403054452672
"Fasting blood glucose",0.774034033771161,1,0.272987850306307,0.00081053701336529,0.24827726541912,0.572610426490315,0.307976155522973,-0.104767241609227,0.21671938889819,-0.524692795556148,0.0744572220241676,-0.475735524791584,-0.467894454507623,-0.475735524791584,-0.467894454507623,-0.350541965635904,0.315817225806934,0.307514916094505,-0.34428228767812,0.141995852621311,0.100879652140709,-0.0647053026794094,0.465258800630662,0.589463989582481,0.540638501511766,0.610812785985871
"Plasma NEP activity",0.233121026658026,0.272987850306307,1,0.0611781865326959,0.321730058491554,0.344284474862303,0.169169960474308,-0.0857707509881423,0.215977601348649,-0.273517786561265,-0.145586297760211,-0.44729907773386,-0.512384716732543,-0.449538866930171,-0.512384716732543,-0.504479578392622,0.170355731225296,0.134782608695652,-0.481554677206851,0.154940711462451,0.0380764163372859,0.0740447957839262,0.50171277997365,0.48129117259552,0.339130434782609,0.309749670619236
"Heart NEP activity",-0.0042793033156664,0.00081053701336529,0.0611781865326959,1,-0.0402254717840231,0.0974383997028041,0.0666882748561705,-0.0182319098938498,-0.224824740198717,-0.155984117980715,0.0726845474434811,-0.0731707317073171,-0.122923588039867,-0.0747913459201037,-0.122923588039867,-0.138481484482619,-0.0976420063203954,-0.0945628393161008,-0.101207357588526,0.106717445912001,0.0754395916052184,0.162952759095697,-0.0286038408556843,-0.00688761040434325,0.210598816951625,0.0420549388218135
"IVCT",0.084576928402759,0.24827726541912,0.321730058491554,-0.0402254717840231,1,0.381228795324409,-0.0225474754106785,-0.253428349352773,0.590880733122411,-0.177808599949123,-0.281711586052133,-0.206355549811181,-0.293183108629496,-0.204048059637573,-0.293183108629496,-0.428402032802892,-0.144119243414454,-0.167589714894576,-0.51028496982062,-0.0674446413600121,-0.0959915912220701,-0.0330300736279238,0.0866957022369658,0.218881925039336,0.227057033082973,0.123549616724011
"IVRT",0.33814155104761,0.572610426490315,0.344284474862303,0.0974383997028041,0.381228795324409,1,0.223020417866392,-0.326885718858542,0.38883397304335,-0.581276621034746,-0.176887352704904,-0.460671607826856,-0.508584091216001,-0.456256014447114,-0.508584091216001,-0.451576803552163,0.183939121236732,0.166672173990575,-0.496984920546827,0.156456995276246,0.0312386755522074,-0.0912775646409436,0.499489286941308,0.628727773772276,0.536198025934092,0.576070175109378
"MV A",0.223016053389733,0.307976155522973,0.169169960474308,0.0666882748561705,-0.0225474754106785,0.223020417866392,1,0.646113306982872,0.0706967560241306,-0.754545454545455,0.343083003952569,-0.0707509881422925,-0.120948616600791,-0.0666666666666667,-0.120948616600791,-0.154413702239789,-0.0075098814229249,-0.00276679841897233,0.00276679841897233,0.423056653491436,0.108563899868248,-0.0447957839262187,0.442424242424242,0.578787878787879,0.405006587615283,0.517523056653491
"MV E",-0.119846396244926,-0.104767241609227,-0.0857707509881423,-0.0182319098938498,-0.253428349352773,-0.326885718858542,0.646113306982872,1,-0.177433703609491,-0.0658761528326746,0.329776021080369,0.25836627140975,0.265876152832675,0.257575757575758,0.265876152832675,0.211067193675889,-0.135177865612648,-0.117127799736495,0.356916996047431,0.238998682476943,0.0789196310935441,0.0355731225296443,0.0285902503293808,0.0598155467720685,-0.008300395256917,0.0935441370223979
"MV ET",0.000530055829097601,0.21671938889819,0.215977601348649,-0.224824740198717,0.590880733122411,0.38883397304335,0.0706967560241306,-0.177433703609491,1,-0.184615387119864,-0.3894580846772,-0.0261571408588815,-0.15582276607369,-0.0231263386434947,-0.15582276607369,-0.325679464144713,-0.273101634408221,-0.28357766815271,-0.507395823058555,-0.0415088129498623,-0.211431398025569,-0.179871522782737,0.0468456603291303,0.198319884093787,0.146137376385388,0.162213805527875
"MV E/A",-0.412607964430498,-0.524692795556148,-0.273517786561265,-0.155984117980715,-0.177808599949123,-0.581276621034746,-0.754545454545455,-0.0658761528326746,-0.184615387119864,1,-0.250724637681159,0.299736495388669,0.38300395256917,0.295256916996047,0.38300395256917,0.393412384716733,-0.039262187088274,-0.0271409749670619,0.269301712779974,-0.328853754940711,-0.12068511198946,0.0631093544137022,-0.535836627140975,-0.711857707509881,-0.629776021080369,-0.673913043478261
